title,link,description,tags,imageUrl
Spofity,http://students.washington.edu/jgb93/info343/spofity/,"Spofity was an assignment where we used the Spotify API in combination with AngularJS.  There's an artist search that can be filtered to show specific songs or albums.  Users can listen to previews of the track, which leads to a simultaneous display of recent Instagram photos tagged with #trackname.","HTML5, CSS3, JavaScript, Bootstrap, AngularJS, Spotify API, Instagram API",../img/spofity.gif
Police Shootings,http://students.washington.edu/jgb93/info343/police-shooting/,"Police Shootings is an interactive map of crowdsourced police shooting data. Plotted points on the map indicate where police shootings occurred.  Points can be clicked for more information, and layers can be changed to show various shootings for males, females, and unknown/unspecified gender. ","HTML5, CSS3, JavaScript, Bootstrap, jQuery, Leaflet.js",../img/policeshooting.gif
